cue,cui,nombre_oficial,sector,osm_name,osm_type,osm_id,dist_m,name_score,lat,lon
061080900,608100700,ESCUELA DE EDUCACIÓN PRIMARIA Nº2 NUESTRA SEÑORA DE LAS MERCEDES,Estatal,E.E.P. n°2,way,582562994,0.2,0.9,-33.89797848316281,-60.57230593938819
061569500,608101180,INSTITUTO SUPERIOR DE FORMACIÓN TÉCNICA DR. RAMÓN CARRILLO,Privado,Instituto Superior de Formación Técnica Dr. Ramón Carrillo,way,1486860693,1.0,1.0,-33.8924048236862,-60.56702462026387
061175100,608101024,JARDÍN DE INFANTES NUESTRA SEÑORA DEL CARMEN,Privado,Jardín Nuestra Señora del Carmen,way,619599079,1.2,1.0,-33.90825890216858,-60.5828486285986
060719300,608101421,CONSERVATORIO DE MUSICA JUAN CARLOS PAZ,Estatal,conservatorio de Música,way,582643300,1.3,0.71,-33.89584524977437,-60.57402015642928
060804100,608100229,ESCUELA DE EDUCACIÓN PRIMARIA Nº50 JUAN JOSÉ CASTELLI,Estatal,E.E.P. n°50,way,583059107,1.5,0.9,-33.90106781479119,-60.54823722460902
061104500,608100054,ESCUELA DE EDUCACIÓN PRIMARIA Nº62 CORONEL MANUEL DORREGO,Estatal,"Escuela Primaria Nº62 ""Cnel Manuel Dorrego""",way,892752776,2.1,0.94,-33.90083370861426,-60.55812375753535
062350800,608100507,JARDÍN DE INFANTES Nº928,Estatal,Jardín de Infantes nº928,way,711994422,2.6,1.0,-33.917672249682724,-60.59356030657104
060222300,608100374,JARDÍN DE INFANTES Nº912 ROSARIO VERA PEÑALOZA,Estatal,Jardín de Infantes N° 912,way,583059564,2.9,0.9,-33.90374215095537,-60.547209622678
061514000,608100020,ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1 ARTURO VAZQUEZ,Estatal,"Escuela de Educación Estética  ""Arturo Vázquez""",way,1486887156,2.9,0.9,-33.89916498281925,-60.57261631923284
060719600,608100763,ESCUELA DE EDUCACIÓN PRIMARIA Nº17 HIPÓLITO YRIGOYEN,Estatal,E.E.P N° 17,way,641002983,3.1,0.9,-33.895635218299255,-60.58554150326482
061179500,608100123,ESCUELA DE EDUCACIÓN PRIMARIA Nº10 CORNELIO SAAVEDRA,Estatal,E.E.P. N° 10,way,618279111,3.1,0.9,-33.88606542936133,-60.57762901258989
061597200,608100989,ESCUELA PRIMARIA SANTA JULIA,Privado,Escuela Santa Julia,way,582702519,4.5,1.0,-33.91246819238884,-60.596461412699945
061179700,608100684,ESCUELA DE EDUCACIÓN PRIMARIA Nº4 BARTOLOME MITRE,Estatal,E.E.P. N° 4,way,618279109,5.0,0.9,-33.887658781277146,-60.56990496222309
060790200,608101105,COLEGIO NUESTRA SEÑORA DEL HUERTO,Privado,Colegio Nuestra Sra. del Huerto,way,582563812,5.2,0.94,-33.8982394768787,-60.57532151810342
060790100,608101271,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 PTE. JULIO A. ROCA,Estatal,E.E.P N° 1,way,582562992,5.5,0.9,-33.894795274135234,-60.574135221806706
060719200,608101114,JARDÍN DE INFANTES SAN JORGE,Privado,Jardín San Jorge,way,639844401,5.9,1.0,-33.889406340279834,-60.57789955857541
061345400,608100479,JARDÍN DE INFANTES Nº924 DOCTOR JULIO MAISTEGUI,Estatal,Jardin nº924,way,1204949537,7.1,0.9,-33.90480202441706,-60.592142038800965
060803400,608101179,INSTITUTO COMERCIAL GIANELLI,Privado,Instituto Comercial Gianelli,way,582698120,8.9,1.0,-33.89577187600064,-60.56538339121869
061175200,608100049,ESCUELA DE EDUCACIÓN PRIMARIA Nº42 MAYOR PEDRO ZANNI,Estatal,Escuela nº42,way,1204949535,9.3,0.9,-33.90562919819484,-60.59360748875617
062003100,608100049,ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ARTURO ILLIA,Estatal,Secundaria nº16,node,11167353616,9.8,0.9,-33.90562919819484,-60.59360748875617
060719800,608100785,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 DOMINGO FAUSTINO SARMIENTO,Estatal,E.E.P N° 22,way,641002985,10.8,0.9,-33.8906687740053,-60.578270279475596
060147600,608100498,ESCUELA DE EDUCACIÓN PRIMARIA Nº41 MIGUEL DE AZCUENAGA,Estatal,E.E.P N° 41,way,641002988,11.6,0.9,-33.87427844085075,-60.57957843183556
060718900,608101082,JARDÍN DE INFANTES SAN CAYETANO,Privado,Jardín de Infantes San Cayetano,node,3590847640,13.2,1.0,-33.891485044590304,-60.58924373445892
061174900,608100991,JARDÍN DE INFANTES SANTA JULIA,Privado,Santa Julia,node,4504740489,13.4,1.0,-33.914078912616226,-60.59686601828989
062227000,608101076,COLEGIO SAN AGUSTIN,Privado,Colegio San Agustín,way,582407993,17.7,1.0,-33.90952119969841,-60.57195868676166
060803500,608100065,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 JOSÉ HERNANDEZ,Estatal,E.E.P N° 5 José Hernández,way,619870066,25.6,0.9,-33.90965916386099,-60.55429145735677
060526200,608101325,ESCUELA DE EDUCACIÓN PRIMARIA Nº53 PTE. ARTURO V. ILLIA,Estatal,E.E.P. N° 53,way,582702773,32.1,0.9,-33.90800138908173,-60.57948406355704
061081100,608101387,ESCUELA ESPECIAL Nº502 DR. OVIDIO DECROLY,Estatal,Escuela Especial n°502,way,582411662,49.3,0.9,-33.90604931908839,-60.57009457899532
060532400,608101069,ESCUELA MONSEÑOR SCALABRINI,Privado,Escuela Monseñor Scalabrini,way,623425339,56.2,1.0,-33.87433666874277,-60.55927784922294
