cue,cui,nombre,sector,domicilio,ambito,lat,lon
061637500,608100217,CENTRO DE EDUCACIÓN FÍSICA Nº79,Estatal,ESTACIÓN DE FERROCARRIL   EL SOCORRO,Rural,-33.66181931136882,-60.70497930618136
061648200,608100894,CENTRO EDUCATIVO COMPLEMENTARIO Nº3 DR. JULIO ISIDRO MAIZTEGUI,Estatal,LORENZO MORENO 946  EL SOCORRO,Rural,-33.663301366096384,-60.705405224621764
060811000,608101373,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 CARLOS PELLEGRINI,Estatal,9 E/10 Y MTRO. CONESA 436,Rural,-33.75617409337717,-60.43960458290649
060876600,608100595,ESCUELA DE EDUCACIÓN PRIMARIA Nº14 SENADOR MIGUEL VICTORIANO DÁVILA,Estatal,CAMPO DÁVILA 450,Rural,-33.708359495732275,-60.582123498923124
060753100,608100451,ESCUELA DE EDUCACIÓN PRIMARIA Nº19 JUAN LARREA,Estatal,ASCASUBI 440,Rural,-33.83088781688149,-60.488837511289624
060222700,608101318,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 MARIA MAGDALENA GÜEMES,Estatal,JUAN B. ALBERDI 250,Rural,-33.673074226485454,-60.4021979589268
060753200,608100771,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 REMEDIOS ESCALADA DE SAN MARTÍN,Estatal,RUTA Nº51 KM 36.5   LA VIOLETA,Rural,-33.78810550077487,-60.20003840187123
060875300,608100361,ESCUELA DE EDUCACIÓN PRIMARIA Nº23 REMEDIOS DE ESCALADA DE SAN MARTIN,Estatal,INDEPENDENCIA 53,Rural,-33.994291405046326,-60.732118047521354
060876200,608100792,ESCUELA DE EDUCACIÓN PRIMARIA Nº24 GRAL. MANUEL BELGRANO,Estatal,LORENZO MORENO E/ GODOY Y ECHAGUE 845  EL SOCORRO,Rural,-33.662582404866676,-60.70641017843758
060226600,608100609,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 DOMINGO FAUSTINO SARMIENTO,Estatal,ZONA RURAL   MANANTIALES,Rural,-33.74749676805938,-60.32328413501263
060875600,608100802,ESCUELA DE EDUCACIÓN PRIMARIA Nº27 FRANCISCO URRUTIA,Estatal,NECOCHEA 515  URRUTIA,Rural,-33.832980924635066,-60.766172336941594
060806000,608100818,ESCUELA DE EDUCACIÓN PRIMARIA Nº29 DOMINGO FAUSTINO SARMIENTO,Estatal,CAMINO RURAL E/ACEVEDO Y LA VIOLETA   MANANTIALES GRANDE,Rural,-33.838151417090806,-60.35535881793733
060876400,608100650,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 CORONEL JULIO S.DANTAS,Estatal,PERGAMINO 670,Rural,-33.76501034656092,-60.64992252251521
060876500,608100576,ESCUELA DE EDUCACIÓN PRIMARIA Nº30 GENERAL SAN MARTIN,Estatal,ZONA RURAL,Rural,-33.72821292957196,-60.82841612227394
060805900,608100530,ESCUELA DE EDUCACIÓN PRIMARIA Nº31 SILVERIO F. VAZQUEZ,Estatal,RUTA 32 ACCESO ARROYO DULCE   VILLA SAN JOSE,Rural,-34.094493728117726,-60.41392171817624
060874800,608100582,ESCUELA DE EDUCACIÓN PRIMARIA Nº34 JOSÉ LORENZO MORENO,Estatal,RUTA Nº178 KM 13,Rural,-33.85475045704582,-60.68076508911369
060830200,608100553,ESCUELA DE EDUCACIÓN PRIMARIA Nº35 JAIME SALVADOR MARQUES,Estatal,CAMINO LA VIOLETA Y RUTA 188 - CUARTEL XXI   PARAJE JUAN PUJOL,Rural,-33.67214413390474,-60.29228703860719
