cue_a,nombre_a,cui_a,cue_b,nombre_b,cui_b,dist_m,nota,poligonos_se_superponen
060210400,ESCUELA DE EDUCACIÓN ESPECIAL Nº503 YAMILE ESPERT,608101263,060790000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 MARIANO MORENO,608101271,21.8,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060210400,ESCUELA DE EDUCACIÓN ESPECIAL Nº503 YAMILE ESPERT,608101263,062378000,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº452,608101271,21.8,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060222700,ESCUELA DE EDUCACIÓN PRIMARIA Nº20 MARIA MAGDALENA GÜEMES,608101318,060223000,JARDÍN DE INFANTES Nº910 CONSTANCIO C. VIGIL,608101302,29.5,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060223000,JARDÍN DE INFANTES Nº910 CONSTANCIO C. VIGIL,608101302,062183700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9 JUANA AZURDUY,608101318,29.5,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060532100,JARDÍN DE INFANTES N°921 BOMBERO FERNANDO TOMÁS ESQUIVEL,608101341,061179601,CENTRO DE ADULTOS Nº709/02,608101356,21.2,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060532100,JARDÍN DE INFANTES N°921 BOMBERO FERNANDO TOMÁS ESQUIVEL,608101341,061179800,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 GENERAL TORIBIO DE LUZURIAGA,608101356,21.2,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060532100,JARDÍN DE INFANTES N°921 BOMBERO FERNANDO TOMÁS ESQUIVEL,608101341,062440100,ESCUELA DE EDUCACIÓN SECUNDARIA N°20,608101356,21.2,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
060811000,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 CARLOS PELLEGRINI,608101373,060830100,JARDÍN DE INFANTES Nº905 GRAL. SAN MARTIN,608101360,20.2,Los polígonos oficiales del edificio SE SUPERPONEN pese a tener CUI distinto: probablemente sea el mismo complejo edilicio dividido administrativamente. Verificar en el lugar antes de crear como escuelas separadas.,True
061648000,CENTRO EDUCATIVO COMPLEMENTARIO Nº1 MI CASA,608100175,062416300,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº454,608100943,15.0,"Polígonos oficiales no se superponen (edificios distintos y separados). Igual está a menos de 30m, verificar en el lugar por las dudas.",False
062233100,JARDÍN DE INFANTES Nº926,608100175,062416300,CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº454,608100943,15.0,"Polígonos oficiales no se superponen (edificios distintos y separados). Igual está a menos de 30m, verificar en el lugar por las dudas.",False
